Afghanistan,Kabul,Asia
Albania,Tirane,Europe
Algeria,Algiers,Africa
Andorra,Andorra la Vella,Europe
Angola,Luanda,Africa
Antigua and Barbuda,Saint John's,America
Argentina,Buenos Aires,America
Armenia,Yerevan,Asia
Australia,Canberra,Oceania
Austria,Vienna,Europe
Azerbaijan,Baku,Asia
The Bahamas,Nassau,America
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Barbados,Bridgetown,America
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Belize,Belmopan,America
Benin,Porto-Novo,Africa
Bhutan,Thimphu,Asia
Bolivia,Sucre,America
Bosnia and Herzegovina,Sarajevo,Europe
Botswana,Gaborone,Africa
Brazil,Brasilia,America
Brunei,Bandar Seri Begawan,Asia
Bulgaria,Sofiya,Europe
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cambodia,Phnom Penh,Asia
Cameroon,Yaounde,Africa
Canada,Ottawa,America
Cape Verde,Praia,Africa
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Chile,Santiago,America
China,Beijing,Asia
Colombia,Bogota,America
Comoros,Moroni,Africa
Republic of the Congo,Brazzaville,Africa
Democratic Republic of the Congo,Kinshasa,Africa
Costa Rica,San Jose,America
Cote d'Ivoire,Yamoussoukro,Africa
Croatia,Zagreb,Europe
Cuba,Havana,America
Cyprus,Nicosia,Asia
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Djibouti,Djibouti,Africa
Dominica,Roseau,America
Dominican Republic,Santo Domingo,America
East Timor,Dili,Asia
Ecuador,Quito,America
Egypt,Cairo,Africa
El Salvador,San Salvador,America
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Estonia,Tallinn,Europe
Ethiopia,Addis Ababa,Africa
Fiji,Suva,Oceania
Finland,Helsinki,Europe
France,Paris,Europe
Gabon,Libreville,Africa
The Gambia,Banjul,Africa
Georgia,Tbilisi,Asia
Germany,Berlin,Europe
Ghana,Accra,Africa
Greece,Athens,Europe
Grenada,Saint George's,America
Guatemala,Guatemala City,America
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Guyana,Georgetown,America
Haiti,Port-au-Prince,America
Holy See,Vatican City,Europe
Honduras,Tegucigalpa,America
Hungary,Budapest,Europe
Iceland,Reykjavik,Europe
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Ireland,Dublin,Europe
Israel,Jerusalem,Asia
Italy,Rome,Europe
Jamaica,Kingston,America
Japan,Tokyo,Asia
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kenya,Nairobi,Africa
Kiribati,Tarawa,Oceania
North Korea,Pyongyang,Asia
South Korea,Seoul,Asia
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Latvia,Riga,Europe
Lebanon,Beirut,Asia
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg,Europe
Macedonia,Skopje,Europe
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Malaysia,Kuala Lumpur,Asia
Maldives,Male,Asia
Mali,Bamako,Africa
Malta,Valletta,Europe
Marshall Islands,Majuro,Oceania
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Mexico,Mexico,America
Federated States of Micronesia,Palikir,Oceania
Moldova,Chisinau,Europe
Monaco,Monaco,Europe
Mongolia,Ulaanbaatar,Asia
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Myanmar,Rangoon,Asia
Namibia,Windhoek,Africa
Nauru,Yaren,Oceania
Nepal,Kathmandu,Asia
Netherlands,Amsterdam,Europe
New Zealand,Wellington,Oceania
Nicaragua,Managua,America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Koror,Oceania
Panama,Panama,America
Papua New Guinea,Port Moresby,Oceania
Paraguay,Asuncion,America
Peru,Lima,America
Philippines,Manila,Asia
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Qatar,Doha,Asia
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Kitts and Nevis,Basseterre,America
Saint Lucia,Castries,America
Saint Vincent and the Grenadines,Kingstown,America
Samoa,Apia,Oceania
San Marino,San Marino,Europe
Sao Tome and Principe,Sao Tome,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia and Montenegro,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Oceania
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
Spain,Madrid,Europe
Sri Lanka,Colombo,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,America
Swaziland,Mbabane,Africa
Sweden,Stockholm,Europe
Switzerland,Zurich,Europe
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dar es Salaam,Africa
Thailand,Bangkok,Asia
Togo,Lome,Africa
Tonga,Nukualofa,Oceania
Trinidad and Tobago,Port-of-Spain,America
Tunisia,Tunis,Africa
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
Tuvalu,Fongafale,Oceania
Uganda,Kampala,Africa
Ukraine,Kiev,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States of America,Washington D.C.,America
Uruguay,Montevideo,America
Uzbekistan,Tashkent,Asia
Vanuatu,Port Vila,Oceania
Venezuela,Caracas,America
Vietnam,Hanoi,Asia
Yemen,Sanaa,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa